,Traceroute,TTL,Latency,Delay
0,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.1,"[26.113, 26.74, 27.221, 27.875, 27.07]"
1,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,26.8,"[25.686, 27.279, 26.497, 27.018, 27.07]"
2,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,42.2,"[25.161, 26.053, 26.331, 26.885, 26.77]"
3,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.1,"[25.124, 26.054, 26.383, 26.898, 26.95]"
4,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.0,"[25.219, 26.054, 26.204, 26.921, 26.72]"
5,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,63.5,"[25.111, 26.025, 26.245, 26.786, 26.81]"
6,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,61.0,"[25.06, 26.119, 26.337, 26.859, 26.72]"
7,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,63.0,"[26.544, 26.132, 26.326, 26.901, 26.8]"
8,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.4,"[25.58, 26.636, 26.843, 27.224, 27.49]"
9,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.0,"[25.61, 26.385, 27.553, 27.251, 27.28]"
10,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,33.2,"[25.703, 26.174, 26.652, 26.878, 26.91]"
11,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.4,"[25.191, 25.984, 26.467, 26.765, 26.83]"
12,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,28.8,"[25.448, 26.272, 26.597, 26.834, 27.13]"
13,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,26.8,"[25.505, 26.328, 27.163, 27.16, 27.41]"
14,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,26.9,"[25.598, 25.877, 26.419, 26.507, 26.79]"
15,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.5,"[25.042, 35.26, 26.425, 26.681, 26.72]"
16,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.3,"[25.647, 26.371, 26.826, 27.214, 27.3]"
17,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,30.0,"[26.434, 26.378, 26.847, 26.878, 27.11]"
18,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,26.9,"[25.118, 25.91, 26.45, 26.582, 26.85]"
19,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.3,"[25.399, 26.001, 26.639, 26.882, 27.13]"
20,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.3,"[26.383, 26.323, 26.648, 27.041, 27.23]"
21,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.0,"[25.535, 26.505, 26.787, 27.15, 27.56]"
22,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,26.9,"[25.327, 25.806, 26.378, 26.625, 27.12]"
23,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.0,"[25.782, 26.559, 26.865, 27.18, 27.62]"
24,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.0,"[25.198, 28.04, 26.375, 26.86, 26.97]"
25,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.3,"[25.28, 26.103, 26.549, 26.615, 26.98]"
26,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.4,"[25.896, 26.4, 26.832, 27.173, 27.31]"
27,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.0,"[25.578, 26.409, 26.928, 27.277, 53.77]"
28,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.3,"[25.212, 25.902, 29.409, 26.704, 26.93]"
29,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.3,"[25.291, 27.687, 26.443, 26.707, 27.06]"
30,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.3,"[25.37, 26.09, 26.508, 26.887, 27.29]"
31,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.0,"[25.442, 26.317, 26.755, 27.067, 27.13]"
32,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.0,"[25.859, 26.119, 46.494, 26.861, 26.92]"
33,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,50.4,"[25.149, 25.85, 26.297, 26.803, 26.96]"
34,"[[97, 75, 191, 50], [97, 75, 190, 196], [97, 75, 190, 192], [69, 169, 182, 14], [128, 187, 16, 18]]",239.0,27.1,"[25.613, 26.118, 26.61, 27.32, 53.51]"
